instance;Gurobi;GA0;GA3;GA4;LocalSolverNative0;LocalSolverNative3;LocalSolverNative4
j303_9;8.96;8.96;8.5;8.96;8.96;8.96;8.96
j3041_6;0;167.209579;167.209579;167.209579;167.209579;167.209579;167.209579
j3042_1;69.5;69.5;69.5;69.5;69.5;69.5;69.5
j3042_10;63;63;63;63;63;63;63
j3042_2;66.702477;66.702477;66.702477;66.702477;66.702477;66.702477;66.702477
j3042_3;127.383652;130.383652;130.383652;129.383652;130.383652;130.383652;130.383652
j3042_4;86.139999;86.139999;86.139999;86.139999;86.139999;86.139999;86.139999
j3042_5;80;80;80;80;80;80;80
j3042_6;77.32653;77.32653;77.32653;77.32653;77.32653;77.32653;77.32653
j3042_7;58.333332;58.333332;58.333332;58.333332;58.333332;58.333332;58.333332
j3042_8;83.227501;85.227501;85.227501;85.227501;85.227501;85.227501;85.227501
j3042_9;159;158;159;158;159;159;159
j3043_1;37.888889;37.888889;37.888889;37.888889;37.888889;37.888889;37.888889
j3043_10;40.5;40.5;40.5;40.5;40.5;40.5;40.5
j3043_2;52.5;52.5;52.5;52.5;52.5;52.5;52.5
j3043_3;57.404999;57.404999;57.404999;57.404999;57.404999;57.404999;57.404999
j3043_4;45.5;45.5;45.5;45.5;45.5;45.5;45.5
j3043_5;53.698223;53.698223;53.698223;53.698223;53.698223;53.698223;53.698223
j3043_6;19.012346;19.012346;19.012346;19.012346;19.012346;19.012346;19.012346
j3043_7;26.5;26.5;26.5;26.5;26.5;26.5;26.5
j3043_8;36.5;36.5;36.5;36.5;36.5;36.5;36.5
j3043_9;21.5;21.5;21.5;21.5;21.5;21.5;21.5
j3046_1;106.1157;106.1157;106.1157;106.1157;106.1157;106.1157;106.1157
j3046_10;124.591843;134.591843;134.591843;134.883224;134.591843;134.883224;134.883224
j3046_2;136.081635;133.081635;133.081635;133.081635;136.081635;131.581635;136.081635
j3046_3;152.5;151;152;152.5;152.5;152.5;152.5
j3046_4;105.889999;105.889999;105.389999;105.889999;105.889999;105.889999;105.889999
j3046_5;202.5;202.5;202.5;202.5;202.5;202.5;202.5
j3046_6;109.604935;109.604935;109.604935;109.604935;109.604935;109.604935;109.604935
j3046_7;152.684814;161.010208;161.010208;161.010208;161.010208;161.010208;161.010208
j3046_8;184.604996;184.604996;183.604996;183.104996;184.604996;184.604996;184.604996
j3046_9;159.940002;159.940002;158.940002;159.940002;159.940002;159.940002;159.940002
