instance;Gurobi;GA beta;GA zr;GA zrt;LS beta;LS zr;LS zrt
j12033_7;0;1305.49585;1308.558228;1311.368164;1299.99585;1290.368164;1236.880859
j12033_8;0;1345.988037;1353.295654;1342.988037;1324.182739;1329.988037;1244.449463
j12033_9;0;1273.801025;1266.046265;1269.546265;1246.746704;1263.301025;1213.229248
j12034_1;1176.055786;1291.723145;1294.988281;1294.723145;1287.223145;1291.223145;1174.3927
j12034_10;1115.5;1126.5;1126.5;1126.5;1126.5;1126.5;968.085938
j12034_2;0;1123.685913;1128.185913;1122.128052;1104.830566;1117.830566;815.239685
j12034_3;645;875.467773;865.96814;867.46814;863.96814;857.201843;844.668945
j12034_4;986.239136;986.739136;983.456604;983.456604;977.152405;977.152405;977.152405
j12034_5;783.161255;874.579895;879.951172;873.951172;849.304749;867.451172;845.031067
j12034_6;1200.5;1200.5;1200.5;1199.166138;1179.157837;1188.494995;1188.494995
j12034_7;764;843;843;843;836.033081;841.25824;836.033081
j12034_8;877.707642;1020.963623;1021.963623;1024.463623;1014.80957;1019.463623;806.238281
j12034_9;0;1079.699951;1084.199951;1086.577759;1069.077759;1071.077759;1066.699951
j12035_1;657.5;657.5;657.5;657.5;657.5;657.5;657.5
j12035_10;668.5;668.5;668.5;668.5;668.5;668.5;668.5
j12035_2;667.5;705.808105;705.232422;705.808105;702.272949;703.232422;664.21875
j12035_3;880.480713;890.5;886.980713;888.480713;888.480713;888.480713;840.018127
j12035_4;602;602;602;602;602;602;600.494995
j12035_5;700.723083;732.223083;729.223083;731.223083;653.777771;729.892334;653.777771
j12035_6;607;607;607;607;607;607;607
j12035_7;531.5;531.5;531.5;531.5;531.5;531.5;531.5
j12035_8;593;593;593;593;593;591.517517;593
j12035_9;725.450134;740;740;740;721.55127;737.950134;740
j12036_1;0;2436.778809;2440.189941;2462.25;2403.189941;2382.002441;1652.0625
j12036_10;0;2521.574219;2535.574219;2549.5;2496.074219;2493.918945;1957.191162
j12036_2;0;2557.428467;2555.787354;2613.031006;2511.594971;2516.819336;1708.438477
j12036_3;0;2602.553711;2636.556152;2631.965332;2561.876709;2596.132813;1786.696655
j12036_4;0;2513.204834;2568.450684;2563.123535;2467.341064;2503.450684;1915.576172
j12036_5;0;2367.358154;2383.600342;2407.437988;2342.012695;2332.937988;1706.766602
j12036_6;0;2672.175293;2704.250977;2713.840088;2624.450928;2624.834229;2127.19458
j12036_7;0;2422.093994;2449.984375;2429.710693;2361.081543;2414.762939;2035.111084
j12036_8;0;2157.199219;2163.583496;2167.12085;2127.209961;2118.182129;1537.909546
j12036_9;0;2251.45752;2243.679688;2264.986084;2176.804688;2220.89502;1808.290771
j12037_1;0;2066.123535;2067.679932;2071.123535;2040.376221;2026.376221;1851.744141
j12037_10;0;1864.919678;1872.236572;1868.419678;1845.102051;1839.039063;1667.946045
j12037_2;0;1848.602295;1840.001953;1853.001953;1811.760498;1823.001953;1401.292603
j12037_3;0;1731.447144;1751.197388;1734.304688;1718.343262;1716.343262;1521.765381
j12037_4;0;2405.870117;2418.202393;2424.771484;2403.870117;2392.870117;2020.395264
j12037_5;0;2174.206543;2188.706543;2216.206543;2132.369873;2176.310059;1855.057861
j12037_6;0;2335.952148;2359.949219;2327.080566;2302.984619;2361.018555;1616.662598
j12037_7;0;2185.851807;2197.97998;2227.123047;2199.123047;2187.74707;1784.103516
j12037_8;0;2274.776855;2278.776855;2298.276855;2252.310059;2208.776855;1822.693726
j12037_9;0;2565.314453;2561.298828;2544.298828;2514.751221;2515.973633;1715.552856
j12038_1;0;1771.11792;1763.11792;1774.11792;1755.429932;1754.429932;1753.429932
j12038_10;0;1703.036377;1697.036377;1703.036377;1680.512451;1682.615234;1407.324219
j12038_2;0;1589.120239;1593.961182;1584.460938;1565.940552;1567.120239;1342.241577
j12038_3;0;1576.282837;1569.244263;1583.782837;1548.42041;1556.859985;1221.05127
j12038_4;0;1994.188232;1986.847168;1988.839844;1954.339844;1975.339844;1827.19104
j12038_5;0;1611.387695;1608.887695;1624.887695;1598.887695;1593.69812;1545.187866
j12038_6;0;2195.611084;2190.611084;2197;2185;2192;1680
j12038_7;0;2068.132324;2072.033691;2069.033691;2052.533691;2064.439941;1843.540405
j12038_8;0;1719.741455;1717.353516;1719.504272;1671.61499;1690.289307;1577.718872
j12038_9;0;1974.15625;1979.851563;1974.539063;1967.351563;1966.5;1929.90625
j12039_1;1362;1431.87793;1431.37793;1432.37793;1431.37793;1330.52002;1330.52002
j12039_10;0;1317.612305;1305.09375;1314.963013;1303.963013;1314.463013;1234.417847
j12039_2;0;1419.124268;1433.624268;1429.624268;1431.162842;1410.162842;1142.897095
j12039_3;0;1402.875;1395.875;1402.875;1365.418213;1386.858032;1340.27002
j12039_4;0;1627.314087;1633.814087;1636.471313;1606.049805;1602.471313;1510.923828
j12039_5;0;1295.5;1295.5;1295.5;1295.5;1295.5;1295.5
j12039_6;1651;1651;1651;1651;1651;1651;1651
j12039_7;876.375;1213.5;1202;1187;1178.263916;1203.5;1150.222168
j12039_8;0;1361.824219;1364.824219;1363.324219;1370.824219;1346.020752;1343.344971
j12039_9;0;1596.150635;1595.150635;1592.150635;1579.222168;1583.062012;1539.314453
j1203_1;385.623596;383.623596;384.623596;385.123596;384.123596;382.623596;385.623596
j1203_3;352.5;352.5;352.5;352.5;352.5;352.5;352.5
j1203_4;364;364;364;364;347.867035;364;364
j1203_5;309.13327;307.674866;309.13327;309.13327;307.674866;309.13327;307.674866
j1203_7;208.5;208.5;208.5;208.5;208.5;208.5;208.5
j1203_8;371;371;371;371;371;371;365.203125
j1203_9;318.5;318.5;318.5;318.5;318.5;318.5;318.5
j12040_1;842.103577;955.414185;952.914185;955.914185;954.414185;950.414185;932.931946
j12040_10;1246.5;1246.5;1246.5;1246.5;1246.5;1246.5;1246.5
j12040_2;1233;1236;1236;1236;1234.5;1236;1231.723145
j12040_3;995;997.5;997;995.439026;978.951416;997.5;923.305786
j12040_4;890;890;890;890;890;890;890
j12040_5;820.5;820.5;820.5;820.5;820.5;820.5;820.5
j12040_6;1022.5;1022.5;1022.5;1022.5;1022.5;1022.5;1022.5
j12040_7;1060.5;1060.5;1060.5;1060.5;1060.5;1060.5;1060.5
j12040_8;916.5;917;917;917;917;917;917
j12040_9;819;819;819;819;819;819;819
j12041_1;36.150295;372.727264;366.992065;360.227264;337.220459;362.492065;353.844055
j12041_10;0;519.191345;521.7099;522.222229;505.339478;513.11731;519.11731
j12041_2;0;497.872986;492.372986;496.685852;478.88736;495.685852;462.043213
j12041_3;0;393.038544;388.668304;388.62674;376.75296;384.580627;385.168304
j12041_4;0;374.619812;360.119812;363.349762;365.619812;363.658691;324.162842
j12041_5;0;314.447052;312.777771;317.447052;316.704865;308.648438;308.648438
j12041_6;0;342.520721;339.520721;339.020721;332.455627;334.520721;288.5
j12041_7;0;377.802765;375.193787;375.693787;367.935974;385.06076;379.302765
j12041_8;0;391.930634;394.612885;387.541229;371.044098;382.662018;361.862396
j12041_9;0;390.879395;386.320831;388.379395;372.179993;384.707092;366.636108
j12042_1;0;343.357269;339.857269;337.357269;332.870758;342.857269;317.208191
j12042_10;0;344.429718;345.399933;344.429718;337.046204;341.528076;325.466827
j12042_2;273.5;273.5;273.5;273.5;273.5;273.5;273.5
j12042_3;274.208038;330.328705;330.328705;329.828705;318.989624;330.828705;320.694214
j12042_4;375.720032;374.720032;372.5;374.5;362.02066;375.220032;358.001038
j12042_5;0;505.418396;497.021606;499.021606;500.021606;500.521606;482.222412
j12042_6;0;320.756195;316.706604;316.99588;315.256195;319.99588;294.735535
j12042_7;234.00827;233.5186;233.5186;233.5186;232.5186;233.5186;228.551651
j12042_8;0;335.93158;335.93158;336.43158;334.43158;336.43158;289.673553
j12042_9;295.081635;316.433685;313.433685;317.433685;286.67984;317.433685;303.975769
j12043_1;232.574219;231.574219;232.074219;231.574219;232.574219;232.574219;232.574219
j12043_10;193.060089;193.060089;193.060089;193.060089;193.060089;193.060089;193.060089
j12043_2;201.5;201.5;201.5;201.5;201.5;201.5;201.446426
j12043_3;244.5;244.5;244.5;244.5;244.138321;244.138321;244.138321
j12043_4;258.205597;259.313599;258.813599;259.313599;259.313599;257.313599;259.313599
j12043_5;0;241.5625;241.5625;241.5625;241.5625;241.5625;241.5625
j12043_6;248.46875;268.812012;264.576172;265.312012;263.544922;265.312012;261.046387
j12043_7;220.262222;220.262222;218.659729;220.262222;216.090012;220.262222;220.262222
j12043_8;227.5;227.5;227.5;227.5;227.5;227.5;227.5
j12043_9;303.5;303.5;303.5;303.5;300.21875;303.5;299.71875
j12044_1;124;124;124;124;124;124;124
j12044_10;195;195;195;195;195;195;195
j12044_2;130.804688;130.804688;130.804688;130.804688;130.804688;130.804688;130.804688
j12044_3;169;169;169;169;169;169;169
j12044_4;200;200;200;200;199.586807;200;200
j12044_5;156.677689;156.677689;156.677689;156.677689;156.677689;156.677689;156.677689
j12044_6;151;151;151;151;151;151;151
j12044_7;215;215;215;215;215;215;215
j12044_8;152.923615;152.923615;152.578125;152.578125;152.578125;151.923615;150.694443
j12044_9;180.5;180.5;180.5;180.5;180.5;180.5;180.5
j12045_1;83;83;83;83;83;83;83
j12045_10;68;68;68;68;68;68;68
j12045_2;109.5;109.5;109.5;109.5;109.5;109.5;109.5
j12045_3;100;100;100;100;100;100;100
j12045_4;89;89;89;89;89;89;89
j12045_5;80;80;80;80;80;80;80
j12045_6;88;88;88;88;88;88;88
j12045_7;99.5;99.5;99.5;99.5;99.5;99.5;99.5
j12045_8;92;92;92;92;92;92;92
j12046_1;0;1251.664307;1249.164307;1267.272705;1152.625;1242.020752;981.618713
j12046_10;0;1147.578613;1144.402954;1155.711792;1063.526611;1100.402954;833.381897
j12046_2;0;1135.375;1150.375;1159.927124;719.333313;1098.333374;881.677063
j12046_3;0;1030.71582;1040.753906;1046.753906;969.855347;969.48584;930.671875
j12046_4;0;1209.491089;1215.093384;1234.733521;1197.352661;1209.991089;999.200684
j12046_5;0;1030.012573;1030.458618;1053.299561;1024.77124;995.961304;903.598755
j12046_6;0;1038.767334;1004.983521;1031.851563;968.444458;996.934082;804.129333
j12046_7;0;944.82373;948.537231;951.641846;918.666687;927.274109;827.534424
j12046_8;0;1222.199951;1228.928589;1231.157104;1106.514282;1190.428589;1107.300049
j12046_9;0;1010.60791;1008.488647;1005.979126;968.236206;957.670166;763.456848
j12047_1;0;887.990295;896.527222;912.409973;860.95105;884.990295;828.910339
j12047_10;0;909.045166;913.545166;916.423279;909.822205;906.186279;805.25
j12047_2;0;857.423706;843.667297;853.923706;812.00177;826.130737;822.293213
j12047_3;0;863.68988;856.51355;853.333496;812.006775;830.059814;777.249756
j12047_4;0;1004.0625;1012.334473;1005.0625;954.502502;982.60022;933.840027
j12047_5;0;910.929321;901.485779;910.128845;865.701294;872.192566;735.337463
j12047_6;0;1012.725586;1003.227051;1011.225586;961.729004;968.337036;910.831055
j12047_7;0;938.460022;936.937622;939.523682;903.49408;907.842224;805.56543
j12047_8;0;1080.972046;1075.292847;1087.758667;1017.907227;1009.292847;984.933472
j12047_9;0;801.099854;806.016479;811.398438;775.84375;796.516479;726.495667
j12048_1;46.616161;759.025269;753.025269;753.045471;732.101013;750.181824;720.409119
j12048_10;0;509.844849;507.344849;504.006226;483.331726;499.844849;482.65097
j12048_2;0;620.773376;618.773376;618.773376;582.572876;591.507141;577.572876
j12048_3;0;740.665955;732.194458;740.694458;660.787354;718.047668;660.287354
j12048_4;0;754.759094;750.630066;754.444824;719.754944;734.842346;717.250244
j12048_5;0;624.105286;611.776306;612.907898;578.631592;585.631592;566.197388
j12048_6;0;628.661499;630.053528;621.661499;615.120483;629.053528;575.714172
j12048_7;0;738.85498;737.908875;742.35498;694.195007;714.877197;710.135559
j12048_8;367.15625;496.90625;496.666687;505.40625;483.322906;484.40625;457.291656
j12048_9;0;550.281128;550.904846;554.590149;537.382568;540.551025;528.719727
j12049_1;415.5;415.5;415.5;415.5;415.5;415.5;415.5
j12049_10;0;420.401398;418.544922;419.401398;413.519348;420.044922;414.019348
j12049_2;365.877777;445.399994;437.236115;435.399994;426.502777;435.899994;369.011108
j12049_3;0;517.653931;513.123962;516.153931;458.483459;510.49588;488.615692
j12049_4;528.641479;567.634338;573.134338;566.773499;554.263977;568.565979;548.263977
j12049_5;0;379.211243;374.334015;377.184174;372.334015;372.184174;367.660767
j12049_6;324.5;324.5;324.5;324.5;324.5;324.5;324.5
j12049_7;482.319611;484.319611;481.319611;485.819611;480.319611;480.319611;474.278473
j12049_8;0;434.270416;433.770416;431.983429;423.065063;428.983429;416.933685
j12049_9;451.829987;464.832489;463.832489;462.832489;461.829987;461.329987;456.492493
j1204_1;233.403748;233.403748;233.403748;233.403748;233.403748;233.403748;233.403748
j1204_10;205;205;205;205;205;205;205
j1204_3;218.5;218.5;218.5;218.5;218.5;218.5;218.5
j1204_4;187;187;187;187;187;187;187
j1204_5;266;266;266;266;266;266;266
j1204_6;207;207;207;207;206.976257;207;206.976257
j1204_7;278.5;278.5;278.5;278.5;278.5;278.5;278.5
j1204_9;206.5;206.5;206.5;206.5;206.5;206.5;206.5
j12050_1;242.5;242.5;242.5;242.5;242.5;242.5;242.5
j12050_10;409;409;409;409;409;409;408.226837
j12050_2;348.5;399.5;397;397.959198;396.959198;393.5;390.836731
j12050_3;310;310;310;310;310;310;310
j12050_4;248.096069;297.10022;296.60022;296.60022;295.10022;289.10022;284.356415
j12050_5;322.5;322.5;322.5;322.5;322.5;322.5;315.243744
j12050_6;245;245;245;245;245;245;245
j12050_7;251.5;251.5;251.5;251.5;251.5;251.5;251.5
j12050_8;340.5;340.5;340.5;340.5;340.5;340.5;340.5
j12050_9;324.5;324.5;324.5;324.5;324.5;324.5;324.5
j12051_1;0;1837.570313;1869.719238;1877.835693;1694.03125;1819.868408;1180.47998
j12051_10;0;1844.620117;1871.217041;1889.52124;1743.382324;1793.528564;1412.020142
j12051_2;0;1653.234985;1674.284424;1683.903076;1597.645508;1615.712646;1324.886353
j12051_3;0;1764.108154;1778.748047;1791.248047;1683.279907;1722.776855;1389.946289
j12051_4;0;1825.468018;1835.220459;1869.720459;1762.420654;1765.319092;897.753418
j12051_5;0;1939.109131;1969.322021;1989.383545;1731.384399;1895.648682;1473.333496
j12051_6;0;1771.630615;1759.620117;1788.123535;1739.866577;1724.998535;1259.042603
j12051_7;0;1756.50293;1777.00293;1782.782227;1710.625;1714.186401;1422.615234
j12051_8;0;1809.272949;1846.379883;1840.272949;1104.134155;1824.74292;1605.108398
j12051_9;0;1825.769043;1834.582764;1868.744385;1822.269043;1832.744385;1236.620605
j12052_1;0;1197.932251;1209.1073;1224.6073;1165.29248;1167.363647;1011.134277
j12052_10;0;1380.538818;1399.038818;1398.180176;1338.898926;1283.210083;1165.621338
j12052_2;0;1389.457764;1382.975098;1396.846191;1357.795898;1352.394165;1161.815552
j12052_3;0;1162.616455;1161.616455;1161.615479;1112.785645;1116.785645;998.293091
j12052_4;0;1569.842529;1589.576172;1585.200684;1552.716309;1561.700684;1394.273315
j12052_5;0;1296.739258;1316.239258;1332.197266;1237.294312;1304.33606;1147.997803
j12052_6;0;1769.624023;1754.124023;1774.285522;1779.785522;1746.689087;1452.685059
j12052_7;0;1388.210571;1398.04541;1392.905396;1364.263428;1349.28418;1187.566284
j12052_8;0;1526.550415;1524.333374;1533.676514;1492.768188;1498.488281;1361.023682
j12052_9;0;1484.32251;1495.82251;1499.18689;1439.940186;1455.641235;1286.672119
j12053_1;0;1218.387085;1220.922974;1222.387085;1198.887085;1195.533569;1169.50415
j12053_10;0;1366.185547;1382.685547;1399.850342;1350.274414;1361.530396;1035.278442
j12053_2;1031.434204;1170.856445;1162.856445;1182.356445;1156.133179;1154.278564;886.698975
j12053_3;859.961731;1015.483032;1013.476807;1006.961731;974.431946;983.44281;970.420105
j12053_4;0;1157.192871;1163.982178;1162.692871;1139.888916;1137.388916;1005.757813
j12053_5;0;981.293945;992.390137;993.293945;980.890137;959.244812;901.038757
j12053_6;0;953.238403;946.738403;958.238403;935.963318;923.50415;883.021973
j12053_7;0;1050.105713;1053.965698;1056.465698;1041.422852;1045.605713;1026.02002
j12053_8;0;1084.56897;1076.443848;1095.015625;1065.657593;1071.443848;913.065308
j12053_9;0;1310.390503;1321.948975;1329.390503;1292.846313;1274.516968;889.486511
j12054_1;0;746.474426;742.40979;742.474426;728.474426;732.895203;725.171997
j12054_10;573.874023;657.996094;658.109375;657.983398;652.147461;661.483398;656.483398
j12054_2;657.5;657.5;657.5;657.5;657.5;657.5;657.5
j12054_3;1053.5;1090.5;1090.5;1090.5;990.35498;1084.5;1046.880005
j12054_4;715.723633;787.894531;783.012695;786.894531;780.894531;778.078125;764.550781
j12054_5;0;1203.860596;1205.706665;1205.860596;1202.706665;1189.360596;1188.086792
j12054_6;0;951.081604;961.877563;957.581604;943.377563;941.112305;821.091858
j12054_7;421.488098;741.918152;735.56311;732.06311;722.993103;738.3125;710.172485
j12054_8;0;941.69104;944.346924;944.846924;907.676331;941.846924;919.176331
j12054_9;0;861.081055;850.081055;854.067566;827.310791;844.729736;817.810791
j12055_1;0;561.994995;557.994995;566.719971;561.494995;554.380005;540.875
j12055_10;604;604;604;604;604;604;604
j12055_2;530;530;530;530;530;530;530
j12055_3;454;454;454;454;454;454;454
j12055_4;627;627.5;627.5;627.5;626.077087;626.077087;626.077087
j12055_5;687;687;687;687;687;687;687
j12055_6;0;757.19281;751.433838;754.433838;650.404541;748.19281;741.27124
j12055_7;574;574;574;574;574;574;574
j12055_8;751;770.5;769.661438;769.661438;758.953125;769.161438;722.8125
j12055_9;611.5;611.5;611.5;611.5;611.5;611.5;608.782227
j12056_1;0;2316.690186;2311.401855;2333.443115;2275.543945;2255.016357;1655.261597
