instance;Gurobi;GA beta;GA zr;GA zrt;LS beta;LS zr;LS zrt
j1208_10;211.176865;812.471741;817.971741;814.136108;813.136108;806.143311;792.186401
j1208_2;0;1070.288818;1078.279541;1078.279541;1016.054443;1046.77478;928.980652
j1208_3;0;786.652222;785.591858;785.591858;755.867371;778.359985;739.16449
j1208_4;46.978085;856.411621;851.911621;853.411621;833.813721;841.411621;647.683716
j1208_5;0;820.40625;820.098755;818.90625;791.792053;813.90625;635.61731
j1208_6;0;806.65741;796.777222;805.15741;796.277222;800.277222;659.995239
j1208_7;0;997.888794;999.388794;999.055176;991.499207;948.996826;988.999207
j1208_8;855;881.5;882.78125;876.28125;881.78125;879.28125;879.28125
j1208_9;0;953.146179;948.007263;960.146179;935.649841;945.146179;907.779419
j1209_1;702;706.5;706.5;706.5;706.5;706.5;706.5
j1209_10;800.5;802.5;802.5;802.5;802.5;802.5;802.5
j1209_2;615;615;615;615;615;615;615
j1209_3;557;557;557;557;557;557;553.658142
j1209_4;0;600.479309;596.979309;599.479309;584.899414;599.979309;555.292908
j1209_6;608.607727;614;614;614;606.430847;612.607727;591.723328
j1209_7;686;686;686;686;686;686;686
j1209_8;527.5;527.5;527.5;527.5;523.836792;527.5;523.836792
j1209_9;414.648895;416.5;416.5;416.5;416.5;416.5;414.648895
